modelo,best_cv_roc_auc,test_roc_auc,test_pr_auc,test_accuracy,test_sensitivity,test_specificity,test_f1,selected_k,best_params
svm_rbf,0.9941176470588236,0.9996693121693122,0.9994462901439646,0.9824561403508771,0.9761904761904762,0.9861111111111112,0.9761904761904762,20,"{'clf__C': 1, 'clf__gamma': 'scale', 'kbest__k': 20}"
rf,0.9905056759545925,0.9996693121693121,0.9994462901439647,0.956140350877193,0.8809523809523809,1.0,0.9367088607594937,30,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400, 'kbest__k': 'all'}"
knn,0.9921052631578948,0.996031746031746,0.9939842958459979,0.9649122807017544,0.9047619047619048,1.0,0.95,30,"{'clf__n_neighbors': 9, 'clf__p': 2, 'clf__weights': 'distance', 'kbest__k': 'all'}"
logreg,0.9941176470588236,0.9957010582010581,0.9943722943722944,0.9824561403508771,0.9761904761904762,0.9861111111111112,0.9761904761904762,20,"{'clf__C': 1, 'clf__penalty': 'l1', 'kbest__k': 20}"
ann_mlp,0.986377708978328,0.9953703703703703,0.9929618746723496,0.9736842105263158,0.9761904761904762,0.9722222222222222,0.9647058823529412,20,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50, 25), 'kbest__k': 20}"
naive_bayes,0.9828689370485035,0.9852843915343915,0.9572440958569426,0.9385964912280702,0.8809523809523809,0.9722222222222222,0.9135802469135802,20,{'kbest__k': 20}
